club_name,club_number_player,club_avg_age,club_league,club_number_foreign_players,club_number_national_players,club_stadium,club_stadium_seats,club_current_transfer_balance,club_country,club_internationality
FC Turin,27,24.7,Serie A,20,16,Stadio Olimpico Grande Torino,28177,-36650000.0,Italien,very international
SC Freiburg,25,25.8,Bundesliga,9,9,Europa-Park Stadion,34700,34300000.0,Deutschland,very international
Al-Hilal SFC,32,27.6,Saudi Pro League,8,20,King Fahd International Stadium,56453,-176620000.0,Saudi-Arabien,very international
SE Palmeiras São Paulo,32,24.8,Campeonato Brasileiro Série A,5,6,Allianz Parque,43713,10850000.0,Brasilien,international
Flamengo Rio de Janeiro,30,26.6,Campeonato Brasileiro Série A,4,6,Estádio Jornalista Mário Filho,78838,-6000000.0,Brasilien,international
RC Lens,29,25.0,Ligue 1,16,11,Stade Bollaert-Delelis,38223,41640000.0,Frankreich,very international
US Sassuolo,29,25.0,Serie A,17,8,Mapei Stadium - Città del Tricolore,21584,42720000.0,Italien,very international
PSV Eindhoven,23,25.4,Eredivisie,11,7,Philips Stadion,35000,-9630000.0,Niederlande,very international
Udinese Calcio,31,24.4,Serie A,25,8,Dacia Arena,25144,-3990000.0,Italien,very international
Al-Nassr FC,31,27.5,Saudi Pro League,10,18,Al-Awwal Park,25000,-77600000.0,Saudi-Arabien,very international
Zenit St. Petersburg,25,26.2,Premier Liga,11,11,Gazprom Arena,63026,37300000.0,Russland,very international
FC Valencia,23,24.3,LaLiga,10,7,Mestalla,49430,10400000.0,Spanien,very international
Celta Vigo,25,25.4,LaLiga,10,7,Abanca Balaídos,29000,3000000.0,Spanien,very international
Shakhtar Donetsk,36,23.6,Premier Liga,11,13,Arena Lviv,34915,-9050000.0,Russland,very international
FC Bologna,29,24.6,Serie A,23,7,Stadio Renato Dall’Ara,36462,-15500000.0,Italien,very international
FC Brügge,34,24.1,Jupiler Pro League,21,11,Jan-Breydel-Stadion,29062,21750000.0,Belgien,very international
VfB Stuttgart,32,23.9,Bundesliga,15,9,Mercedes-Benz Arena,60449,-14150000.0,Deutschland,very international
CA Osasuna,24,28.2,LaLiga,4,3,El Sadar,23576,-0.0,Spanien,international
RC Straßburg Alsace,30,24.3,Ligue 1,14,8,Stade de la Meinau,26109,-56000000.0,Frankreich,very international
TSG 1899 Hoffenheim,29,25.5,Bundesliga,13,11,PreZero Arena,30150,12200000.0,Deutschland,very international
SC Braga,27,26.4,Liga Portugal,16,3,Estádio Municipal de Braga,30286,-9700000.0,Portugal,very international
KRC Genk,26,23.0,Jupiler Pro League,17,10,Cegeka Arena,24956,-10500000.0,Belgien,very international
FC Augsburg,35,24.2,Bundesliga,20,7,WWK ARENA,30660,1450000.0,Deutschland,very international
FC Girona,28,26.2,LaLiga,12,6,Montilivi,13286,-8850000.0,Spanien,very international
1.FSV Mainz 05,27,25.4,Bundesliga,11,6,Mewa Arena,33305,6050000.0,Deutschland,very international
Al-Ahli SFC,30,25.6,Saudi Pro League,8,11,King Abdullah Sports City,62242,-93200000.0,Saudi-Arabien,very international
Ittihad Club,33,27.4,Saudi Pro League,10,13,King Abdullah Sports City,62241,-75800000.0,Saudi-Arabien,very international
HSC Montpellier,25,25.1,Ligue 1,11,5,Stade de la Mosson,32939,1800000.0,Frankreich,very international
AC Monza,33,26.0,Serie A,11,3,U-Power Stadium - Brianteo,16917,-41000000.0,Italien,very international
Celtic Glasgow,31,25.2,Scottish Premiership,24,15,Celtic Park,60832,20070000.0,Schottland,very international
Glasgow Rangers,33,26.4,Scottish Premiership,24,10,Ibrox Stadium,50987,-8650000.0,Schottland,very international
FC Getafe,24,27.4,LaLiga,13,7,Coliseum Alfonso Pérez,16800,-8500000.0,Spanien,very international
GNK Dinamo Zagreb,43,23.9,SuperSport HNL,14,9,Maksimir,35123,-3600000.0,Kroatien,very international
CA River Plate,35,27.9,Liga Profesional de Fútbol,6,5,Mâs Monumental,84567,33670000.0,Argentinien,international
Besiktas JK,35,24.8,Süper Lig,13,12,Vodafone Park,42590,-3750000.0,Türkei,very international
Spartak Moskau,30,24.7,Premier Liga,10,13,Otkrytie Bank Arena,44571,-15000000.0,Russland,very international
Stade Reims,31,24.3,Ligue 1,23,10,Stade Auguste-Delaune,21684,6050000.0,Frankreich,very international
CA Paranaense,34,25.3,Campeonato Brasileiro Série A,7,4,Arena da Baixada,42372,6300000.0,Brasilien,very international
Trabzonspor,34,25.1,Süper Lig,15,13,Papara Park,40782,-4570000.0,Türkei,very international
AZ Alkmaar,31,23.0,Eredivisie,12,6,AFAS Stadion,19478,36170000.0,Niederlande,very international
