club_name,club_number_player,club_avg_age,club_league,club_number_foreign_players,club_number_national_players,club_stadium,club_stadium_seats,club_current_transfer_balance
FC Burnley,31,"24,5",Premier League,23,15,Turf Moor,21.994 Plätze,"-75,80 Mio. €"
Ajax Amsterdam,25,"23,2",Eredivisie,10,12,Johan Cruijff ArenA,55.600 Plätze,"+68,90 Mio. €"
Borussia Mönchengladbach,33,"24,5",Bundesliga,17,9,Stadion im Borussia-Park,54.042 Plätze,"-4,28 Mio. €"
Red Bull Salzburg,32,"21,3",Bundesliga,26,11,Red Bull Arena Salzburg,30.188 Plätze,"+52,70 Mio. €"
1.FC Union Berlin,31,"25,8",Bundesliga,18,11,Stadion An der Alten Försterei,22.012 Plätze,"-12,90 Mio. €"
Fenerbahce,41,"25,4",Süper Lig,17,14,Ülker Stadyumu FB Şükrü Saraçoğlu Spor Kompleksi,47.834 Plätze,"+23,09 Mio. €"
FC Turin,27,"24,7",Serie A,20,16,Stadio Olimpico Grande Torino,28.177 Plätze,"-36,65 Mio. €"
SC Freiburg,25,"25,8",Bundesliga,9,9,Europa-Park Stadion,34.700 Plätze,"+34,30 Mio. €"
Al-Hilal SFC,32,"27,6",Saudi Pro League,8,20,King Fahd International Stadium,56.453 Plätze,"-176,62 Mio. €"
SE Palmeiras São Paulo,32,"24,8",Campeonato Brasileiro Série A,5,6,Allianz Parque,43.713 Plätze,"+10,85 Mio. €"
Flamengo Rio de Janeiro,30,"26,6",Campeonato Brasileiro Série A,4,6,Estádio Jornalista Mário Filho,78.838 Plätze,"-6,00 Mio. €"
RC Lens,29,"25,0",Ligue 1,16,11,Stade Bollaert-Delelis,38.223 Plätze,"+41,64 Mio. €"
US Sassuolo,29,"25,0",Serie A,17,8,Mapei Stadium - Città del Tricolore,21.584 Plätze,"+42,72 Mio. €"
PSV Eindhoven,23,"25,4",Eredivisie,11,7,Philips Stadion,35.000 Plätze,"-9,63 Mio. €"
Udinese Calcio,31,"24,4",Serie A,25,8,Dacia Arena,25.144 Plätze,"-3,99 Mio. €"
Al-Nassr FC,31,"27,5",Saudi Pro League,10,18,Al-Awwal Park,25.000 Plätze,"-77,60 Mio. €"
Zenit St. Petersburg,25,"26,2",Premier Liga,11,11,Gazprom Arena,63.026 Plätze,"+37,30 Mio. €"
FC Valencia,23,"24,3",LaLiga,10,7,Mestalla,49.430 Plätze,"+10,40 Mio. €"
Celta Vigo,25,"25,4",LaLiga,10,7,Abanca Balaídos,29.000 Plätze,"+3,00 Mio. €"
Shakhtar Donetsk,36,"23,6",Premier Liga,11,13,Arena Lviv,34.915 Plätze,"-9,05 Mio. €"
FC Bologna,29,"24,6",Serie A,23,7,Stadio Renato Dall’Ara,36.462 Plätze,"-15,50 Mio. €"
FC Brügge,34,"24,1",Jupiler Pro League,21,11,Jan-Breydel-Stadion,29.062 Plätze,"+21,75 Mio. €"
VfB Stuttgart,32,"23,9",Bundesliga,15,9,Mercedes-Benz Arena,60.449 Plätze,"-14,15 Mio. €"
CA Osasuna,24,"28,2",LaLiga,4,3,El Sadar,23.576 Plätze,+-0
RC Straßburg Alsace,30,"24,3",Ligue 1,14,8,Stade de la Meinau,26.109 Plätze,"-56,00 Mio. €"
TSG 1899 Hoffenheim,29,"25,5",Bundesliga,13,11,PreZero Arena,30.150 Plätze,"+12,20 Mio. €"
SC Braga,27,"26,4",Liga Portugal,16,3,Estádio Municipal de Braga,30.286 Plätze,"-9,70 Mio. €"
KRC Genk,26,"23,0",Jupiler Pro League,17,10,Cegeka Arena,24.956 Plätze,"-10,50 Mio. €"
FC Augsburg,35,"24,2",Bundesliga,20,7,WWK ARENA,30.660 Plätze,"+1,45 Mio. €"
FC Girona,28,"26,2",LaLiga,12,6,Montilivi,13.286 Plätze,"-8,85 Mio. €"
1.FSV Mainz 05,27,"25,4",Bundesliga,11,6,Mewa Arena,33.305 Plätze,"+6,05 Mio. €"
Al-Ahli SFC,30,"25,6",Saudi Pro League,8,11,King Abdullah Sports City,62.242 Plätze,"-93,20 Mio. €"
Ittihad Club,33,"27,4",Saudi Pro League,10,13,King Abdullah Sports City,62.241 Plätze,"-75,80 Mio. €"
HSC Montpellier,25,"25,1",Ligue 1,11,5,Stade de la Mosson,32.939 Plätze,"+1,80 Mio. €"
AC Monza,33,"26,0",Serie A,11,3,U-Power Stadium - Brianteo,16.917 Plätze,"-41,00 Mio. €"
Celtic Glasgow,31,"25,2",Scottish Premiership,24,15,Celtic Park,60.832 Plätze,"+20,07 Mio. €"
Glasgow Rangers,33,"26,4",Scottish Premiership,24,10,Ibrox Stadium,50.987 Plätze,"-8,65 Mio. €"
FC Getafe,24,"27,4",LaLiga,13,7,Coliseum Alfonso Pérez,16.800 Plätze,"-8,50 Mio. €"
GNK Dinamo Zagreb,43,"23,9",SuperSport HNL,14,9,Maksimir,35.123 Plätze,"-3,60 Mio. €"
CA River Plate,35,"27,9",Liga Profesional de Fútbol,6,5,Mâs Monumental,84.567 Plätze,"+33,67 Mio. €"
Besiktas JK,35,"24,8",Süper Lig,13,12,Vodafone Park,42.590 Plätze,"-3,75 Mio. €"
Spartak Moskau,30,"24,7",Premier Liga,10,13,Otkrytie Bank Arena,44.571 Plätze,"-15,00 Mio. €"
Stade Reims,31,"24,3",Ligue 1,23,10,Stade Auguste-Delaune,21.684 Plätze,"+6,05 Mio. €"
CA Paranaense,34,"25,3",Campeonato Brasileiro Série A,7,4,Arena da Baixada,42.372 Plätze,"+6,30 Mio. €"
Trabzonspor,34,"25,1",Süper Lig,15,13,Papara Park,40.782 Plätze,"-4,57 Mio. €"
AZ Alkmaar,31,"23,0",Eredivisie,12,6,AFAS Stadion,19.478 Plätze,"+36,17 Mio. €"
